pair_id	premise_slo	hypothesis_slo	premise_eng	hypothesis_eng	label
P3806	Učenci so se po tem tonu UGLASILI in začeli prepevati.	Učenci so se poskusili uglasiti, a jim ni uspelo, zato prepevanje ni bilo mogoče.	After hearing that tone, the students harmonized and started singing.	The pupils tried to sing in tune, but failed, so singing was not possible.	contradiction
P3821	Osebni podatki iz prejšnjega odstavka se lahko uporabljajo samo v postopkih za podelitev odlikovanj.	Kadar organi podeljujejo nagrade, nimajo nobene pravice, da vdirajo v ali uporabljajo osebne informacije nagrajencev.	The personal data referred to in the preceding paragraph may only be used in the procedures for awarding decorations.	When awarding prizes, the authorities have no right to intrude into or use the personal information of the prizewinners.	contradiction
P4004	Juho začinimo z začimbami, pogrejemo in ponudimo v jušniku.	Juho postrežemo povsem brez dodatkov in še hladno v običajni posodi.	Season the soup with spices, warm up and serve in a soup tureen.	Serve the soup completely unadorned and still cold in a normal bowl.	contradiction
P4008	»Vprašate me lahko vse, kar vam pride na misel.«	“Oprostite, dovolj mi je vaših vprašanj.“	You can ask me anything that comes to mind.	Sorry, I've had enough of your questions.	contradiction
P4067	Virus citalomegalo v telesu spodbuja proizvajanje protiteles naravnega obrambnega sistema organizma.	Virus citalomegalo ima sicer za naše telo pomembno funkcijo, vendar pa ne sodeluje pri procesu proizvajanja protiteles naravnega obrambnega sistema organizma.	The citalomegalovirus stimulates the production of antibodies by the body's natural defence system.	While the cytomegalovirus has an important function for our body, it is not involved in the antibody production process of the body's natural defence system.	contradiction
P4184	»In tam – tam sem spoznala neko dekle.«	“Tam sem bila precej osamljena, saj nisem spoznala nikogar novega.“	And there - there I met a girl.	I was quite lonely there because I didn't meet anyone new.	contradiction
P4216	Opore za paradižnike postavimo, preden posadimo rastline, da ne bi ponesreči poškodovali koreninske grude.	Paradižniki lahko sami rastejo in ne potrebujejo opore; če jo, jo namestimo, ko so že skoraj zreli, nobenega strahu ni, da bi pri tem poškodovali zemljo v globinah.	Tomato supports should be put in place before the plants are planted to avoid accidentally damaging the root ball.	Tomatoes can grow on their own and do not need a support; if they do, we install one when they are almost ripe, there is no fear of damaging the soil in the depths.	contradiction
P4258	Čeprav so opazovanja in ustna vprašanja učinkovita in prilagodljiva v razredni situaciji, imajo tudi pomembne omejitve.	Med poukom se učenci ne smejo pogovarjati z učiteljem, počakati morajo do konca pouka in šele po uri postavljati vprašanja.	Although observations and oral questions are effective and flexible in a classroom situation, they also have important limitations.	Students must not talk to the teacher during the lesson, they must wait until the end of the lesson and only ask questions after the lesson.	contradiction
P4267	Imel je ozko glavo, njegove rahlo poševne oči in zlatast odtenek polti pa so izdajali, da se mu v žilah pretaka kri Sanov Grmičarjev iz Kalaharija.	Njegova glava je bila ozka, polt skoraj zlata, oči pa rahlo poševne, tako da nisi mogel vedeti ali pripada Sanom Grmičarjem iz Kalaharija ali ne.	He had a narrow head, and his slightly slanted eyes and golden complexion gave away the fact that the blood of the San Bushmen of the Kalahari Dessert was coursing through his veins.	His head was narrow, his complexion almost golden, and his eyes slightly slanted, so you couldn't tell whether he belonged to the San Bushmen of the Kalahari or not.	contradiction
P4289	Popoldne so med poostrenim nadzorom prometa v Suhorju pri Novem mestu ustavili 39-letnega voznika osebnega avta iz Brezja, ki je napihal 1,49 promila.	Dan je na cesti v Suhorju pri Novem mestu minil brez incidentov.	In the afternoon, during an intensified traffic control in Suhorje near Novo Mesto, a 39-year-old car driver from Brezje was stopped who had a 1.49 permille of alcohol in his blood.	The day passed without incident on the road in Suhorje near Novo Mesto.	contradiction
P4301	Boljši učinek pri zasaditvah dosežemo, če rastline sadimo v skupine.	Vsaka rastlinska sadika mora biti za optimalno rast daleč od drugih.	Better planting results are achieved when plants are planted in groups.	Each plant seedling needs to be far away from the others for optimal growth.	contradiction
P4343	Jajca dobro razžvrkljamo z rakčevo pasto, soljo in poprom.	Rakčevo pasto zmešam s soljo in poprom, jajca pa razžvrkljamo v ločeni posodi.	Whisk the eggs well with the crab paste, salt and pepper.	Mix the crab paste with salt and pepper and whisk the eggs in a separate bowl.	contradiction
P4376	Še sanjalo se mi ni, da si tako nadarjen.«	“Mislila sem, da si bolj talentiran.“	"I had no idea you were so talented."""	I thought you were more talented.	contradiction
