pair_id	premise_slo	hypothesis_slo	premise_eng	hypothesis_eng	label
P3478	Ob robu zlato peščeni, v sredi pa zeleni, košati in osmojeni od sonca so bili.	Izgledali so takole: ob robu so bili zlate, na sredini pa zelene barve, bujni in zapečeni od sonca.	They were golden at the edges and green in the middle, lush and slightly burnt from the sun.	They looked like this: golden at the edges and green in the middle, lush and crispy from the sun.	entailment
P3496	NAJBOLJ OBČUTLJIVE SO RASTLINE, GOJENE V MAJHNIH CVETLIČNIH POSODAH, KJER SE SADILNI KOMPOST HITRO IZSUŠI.	ROŽE, KI SO POSAJENE V MAJHNIH CVETLIČNIH LONČKIH, NE USPEVAJO NAJLEPŠE, SAJ SE GNOJILO TAKOJ POSUŠI.	PLANTS GROWN IN SMALL FLOWERPOTS ARE THE MOST SENSITIVE, WHERE THE PLANTING COMPOST DRIES OUT QUICKLY.	FLOWERS PLANTED IN SMALL POTS DON'T THRIVE AS THE FERTILISER DRIES OUT IMMEDIATELY.	entailment
P3515	Vse ne poteka v enem kraju, ampak po vseh posavskih občinah.	Dogajanje je razporejeno čez več občin, ki ležijo ob Savi.	It's not all taking place in one town, but in all the municipalities of Posavje.	The action is spread over several municipalities along the Sava River.	entailment
P3531	Osredotočite se na večje mišične skupine, kot so prsi, hrbet, rame in noge.	Pozornost posvetite mišicam na prednjem in zadnjem delu trupa ter na okončinah.	Focus on the larger muscle groups such as the chest, back, shoulders and legs.	Pay attention to the muscles in the front and back of your torso and in your limbs.	entailment
P3583	Davčni obračun se predloži na obrazcu, ki ga predpiše minister, pristojen za finance.	Zahteva mora biti vložena na način, ki ga predpiše tedanji finančni minister ali ministrica.	The tax return shall be submitted on a form prescribed by the Minister responsible for finance.	The request must be made in the manner prescribed by the then Minister of Finance.	entailment
P3646	Klepec si je postavil leseno hišo, za kar je porabil tako debela debla, da so po tri drugo na drugem dala zadosti visoke stene.	Klepec je svojo hišo iz lesa sestavil iz drevesnih debel tako velike širine, da so tri skupaj naložena vrh druge merila za višino stene.	Klepec built himself a wooden house, using logs so thick that three of them on top of each other gave walls high enough for the house.	Klepec constructed his timber house from tree trunks so wide that three of them stacked on top of each other measured the height of the wall.	entailment
P3676	**Sportinina kartica ugodnosti ne velja za blagovne znamke Orsay, Tally Weijl, Xanaka, Tape a l'oeil in Six.	Znamke Tally Weijl, Six, Tape a l'oeil, Orsay in Xanaka so izključene iz Sportinine kartice ugodnosti.	**The Sportina Benefits Card is not valid for Orsay, Tally Weijl, Xanaka, Tape a l'oeil and Six.	Tally Weijl, Six, Tape a l'oeil, Orsay and Xanaka are excluded from Sportina's benefits card.	entailment
P3756	»Kdaj pa prideš domov?« ga je še vprašala, ko je končala.	Slednjič je povprašala še po njegovih namerah glede prihoda somov.	When are you coming home? she asked him when she finished.	Finally she asked him about his intentions for the arrival of the catfish.	entailment
P3811	(3) Imetnik licence sklene z naročnikom storitev zasebnega varovanja pogodbo o varovanju v pisni obliki.	(3) Z izbranim ponudnikom sklene naročnik pisno pogodbo o zaščiti.	(3) The licensee shall enter into a written security agreement with the client contracting the private security services.	(3) The contracting authority shall enter into a written protection agreement with the successful tenderer.	entailment
P3825	- spremljanje skladnosti ravnanja z nevarnim blagom v podjetju s predpisi, ki urejajo prevoz nevarnega blaga,	- opazovanje, ali se pri rokovanju z nevarnim blagom v podjetju upošteva pravila, ki določajo, na kakšen način se prevaža nevarno blago,	- monitoring compliance of the company's handling of dangerous goods with the rules governing the transport of dangerous goods,	- observing whether the rules governing how dangerous goods are transported are followed in the company while handling dangerous goods,	entailment
P3834	Kaj naj storim, na koga naj se obrnem.	V tistem trenutku res nisem več vedela, komu naj rečem za pomoč.	What should I to do, who should I to turn to.	In that moment, I really didn't know who to ask for help anymore.	entailment
P3841	Počastili so kulturni praznik, spomin na velikega pesnika Franceta Prešerna.	Na državni praznik 8. februarja so obeležili spomin na našega največjega slovenskega pesnika, Franceta Prešerna.	A cultural holiday was celebrated in memory of the great poet France Prešeren.	On the national holiday on 8 February, they commemorated the memory of our greatest Slovenian poet, France Prešeren.	entailment
P3932	“Prav, če hočeš,“ je ustrežljivo rekla Irena.	Irena, ustrežljiva kot je, se ni upirala.	All right, if you want, said Irena obligingly.	Irena, obliging as she is, did not resist.	entailment
P3976	Zal ti nimam kaj dokazovati oz. dokazovati nazaj, saj nisi navedel nobenega dokaza za svoej trditve.	Ne vidim potrebe v tem, da bi se ti trudil karkoli dokazovati, saj tudi ti nisi predočil ničesar, kar bi lahko služilo kot dokaz.	I unfortunately have nothing to prove to you, or to prove back to you, as you have not provided any evidence for your claims.	I don't see the need to try to prove anything to you, because you haven't produced anything that could serve as proof either.	entailment
P4000	Docela me je prevzel strah za gospo Šolman-Tratnikovo.	Bil sem v velikih skrbeh za gospo.	I was quite frightened for Mrs Šolman-Tratnik.	I was very worried about the lady.	entailment
P4129	»Ničesar ne slišim,« je rekel, ko je še močneje napel ušesa.	Bolj kot se je trudil, da bi lahko razbral zvoke, manj je slišal.	I can't hear anything, he said, straining his ears even harder.	The harder he tried to make out the sounds, the less he heard.	entailment
P4170	Rastline, ki cvetijo tudi pozimi (božični kaktus, ciklama, vijolica, flamingovec), prestavimo na svetel prostor ob okno.	Trajnice, med katere uvrščamo Schlumbergero, kokorik, violo in Anthurium, naj bodo premaknjene na s soncem obsijano okensko polico.	Plants that also flower in winter (Christmas cactus, cyclamen, violet, flamingo flower) should be moved to a bright place by the window.	Perennials such as Schlumbergera, European dodder, Violet and Anthurium should be moved to a sunny windowsill.	entailment
P4191	Osnovna motorika kot aplikativna, t.j. uporabna kineziološka disciplina, predstavlja pomembno informacijsko bazo za realizacijo vseh naštetih pojavnih oblik športa.	Osnovne veščine premikanja so pomembna uporabna kineziološka področja, ki predstavljajo temelj za vse športne vsebine, ki so pomembna za razumevanje športne dejavnosti.	Basic motor skills, as an applied, i.e. applied kinesiological discipline, represents an important information base for the realisation of all these manifestations of sport.	Basic movement skills are important applied kinesiological domains that form the foundation for all kinds of sport that are relevant for the understanding of sport activity.	entailment
P4218	Tožilcu naj bi tako obljubil denar v zameno za uslugo med postopkom na sodišču, medtem pa naj bi ga prijavil protikorupcijski komisiji, še piše Pomurje.si.	Na spletni strani Pomurje.si so obsežno pisalu o aferi podkupovanja tožilca za uslugo med sodnim postopkom in hkratni prijavi dotičnega tožilca komisiji, ki se bori proti korupciji.	He allegedly promised the prosecutor money in exchange for a favour during the court proceedings, and in the meantime reported him to the Anti-Corruption Commission, writes Pomurje.si.	The Pomurje.si website has written extensively about the scandal of bribing a prosecutor for a favour during a court case and the simultaneous reporting of the prosecutor in question to the Commission against Corruption.	entailment
P4220	(1) Borzno posredniška družba ne sme opravljati nobenih drugih dejavnosti, razen storitev v zvezi z vrednostnimi papirji.	(1) Edina dejavnost, ki jo borzno posredniška družba sme opravljati, so storitve, ki se navezujejo na vrednostne papirje.	(1) A stockbroking firm shall not carry on any other activities than services connected to stocks.	(1) The only activity that a stockbroking firm may carry on shall be services relating to stocks.	entailment
P4325	Sraga mi je stekla po bradi, kanila čez ter pristala na svetli srajci.	Tako sem se potil, da sem zmočil svojo svetlo srajco.	A drop of sweat ran down my chin, dripped over it and landed on my bright shirt.	I was sweating so much that I wet my bright shirt.	entailment
P4332	Prošnji mora biti priložen družinski list in davčna prijava vseh družinskih članov; - šest štipendij v znesku tisoč petsto euro za univerzitetne študente.	Poleg prošnje morate oddati tudi družinski list, potrebna je davčna prijava vseh članov družine; - štipendisti, študenti UNI programov, prejmejo šeskratni znesek v višini 1500 evrov.	The application must be accompanied by a family certificate and the tax registration of all family members; - six scholarships of one thousand five hundred euros for university students.	In addition to the application form, you must submit a family certificate, and tax registration is required for all family members; - Scholarship holders, students of UNI programmes, receive six times the amount of €1500.	entailment
P4346	Centraliziran sistem vključuje starše in druge občane v oblikovanje šolske politike posredno, z decentralizacijo pa se povečuje tudi njihova neposredna participacija.	K posrednemu izoblikovanju šolske politike pripomore uporaba centraliziranega sistema, pri katerem sodelujejo starši in ostali krajani, medtem ko decentraliziran sistem spodbuja njihovo neposredno vključenost.	A centralised system involves parents and other citizens indirectly in school policy-making, but decentralisation increases their direct participation.	The use of a centralised system involving parents and other local residents helps to shape school policy indirectly, while a decentralised system encourages their direct involvement.	entailment
P4389	Večina delničarjev ga je potrdila za predsednika, Janez Pestotnik pa je postal novi predsednik nadzornega sveta Banke Karantanija.	Banka Karantanija je po izboru večine delničarjev dobila novega predsednika nadzornega sveta, in sicer Janeza Pestotnika.	A majority of shareholders approved him as Chairman and Janez Pestotnik became the new Chairman of the Supervisory Board of Banka Karantanija.	Banka Karantanija has a new Chairman of the Supervisory Board, Janez Pestotnik, following the election of the majority of shareholders.	entailment
